"Coldplay, Selena Gomez - Let Somebody Go - Kygo Remix.mp3",wcMHnCtDC6w,536999
"Ali Gatie - IDK.mp3",fuEg51WdeqQ,179373
"Kat Edwards - Best Bad News.mp3",3IBFbhfmJO4,3314
"88rising, BIBI - Best Lover.mp3",Dyg_ZX2jp3o,7669162
"Kita Alexander - Run.mp3",6fdUl7Os3JI,13128
"HRVY - I Wish I Could Hate You.mp3",qgE6BJRFl9g,49577
"Thelma Plum - The Bat Song.mp3",vQk2q68VWc0,3320
"Sabrina Claudio - Don’t Make Me Wait.mp3",2OeMT344jt4,2239854
"P1Harmony - Gotta Get Back (feat. Pink Sweat$).mp3",GLSIbgeqKjk,117034
"Oliver Cronin - 10,000 Hours (feat. Mason Dane).mp3",SGnCS38Jpzc,2649
"Carla Wehbe - hurts to love you (reimagined).mp3",AZ43N3oun7w,149
"NIKI - Before.mp3",eEt3iruepM4,48740
"YDE - Old Her.mp3",oSR7NELRhR0,35465
"MICHELLE - FOOL 4 U.mp3",oL7GJrFVDkg,7732
"Ed Sheeran - Overpass Graffiti.mp3",gtR09WMSaAw,18411040
"BOBI ANDONOV - Night Crawls.mp3",63uwbBkwsOY,17437
"Lara Andallo - Head To Toe.mp3",PjF-7hhPxqs,5834
"Valentina Ploy - Bla Bli Blu.mp3",mAzjOheNBw4,804394
"The Attire - Sriracha (feat. WOOSUNG).mp3",a0fm45GYIfM,38006
"Sam Ryder - SPACE MAN.mp3",uvYicg0822E,4175449
"Fleur De Mur - Nothing Right.mp3",Q7rxnysZxyI,26
"Sloan Peterson - Wear My Heart Out (feat. Pearl).mp3",Qq3t9Q0HioU,1107
"Budjerah - My Name.mp3",DaYDB1_O0Us,2183
"NIKI - Oceans & Engines.mp3",ZM3bRj45EBU,1200782
"L.A.B. - Yes I Do.mp3",rmlpbaRoPPk,288318
"Jack Gray - One Step Back.mp3",xKsDLEVRrGk,17393
"YDE - Normal to Feel.mp3",HOX2JK8n-24,35975
"Bazzi - Miss America.mp3",hJqMhG5vRXE,409862
"Bri Clark - Compete.mp3",gaH1ZC7hsos,380
"Alex the Astronaut - Ride My Bike.mp3",IuiVzhec3Tc,1273
"Thelma Plum - The Brown Snake.mp3",zKmwmmz50ew,31053
"Ali Gatie - Can't Give Up.mp3",nizXLw82LIU,341691
"Kat Edwards - Loser.mp3",UU2EWwDsW88,336
"Jamyang - Waves.mp3",q-FBQF9-TOg,31
"Maisie Peters - Good Enough.mp3",Z4oF_rLqBek,284224
"Thelma Plum - When It Rains It Pours.mp3",GguoE0sJi3g,17119
"Kita Alexander - Storm.mp3",lNm-rMA_2cs,3572
"Ali Gatie - The Look (feat. Kehlani).mp3",cfA2-rsZYOk,448783
"Matilda Pearl - FUCK U FINN.mp3",ylGB7Ial7xg,29
"Jack Gray - You Can Run.mp3",kmPVsaFRGKs,2874
"Oliver Cronin - Trapped In L.A..mp3",wLJD8AwKmi0,5736
"Harper Finn - Euphoria.mp3",3rWuwxTUydQ,11995
"Lukas Graham - Wish You Were Here (feat. Khalid).mp3",Hg_jXteqbsw,870366
"Rory Noble - Headlines.mp3",1Va9zT_WlIw,5776
